sorting 2025-10-21 22:37:20,274 INFO Начало buble_sort с массивом из 10000 элементов
sorting 2025-10-21 22:37:29,293 INFO Завершение buble_sort. Итераций: 49995000
sorting 2025-10-21 22:37:29,293 INFO Начало buble_sort_fl с массивом из 10000 элементов
sorting 2025-10-21 22:37:37,424 INFO Завершение buble_sort_fl. Итераций: 49992654
sorting 2025-10-21 22:37:37,424 INFO Начало choise_sort с массивом из 10000 элементов
sorting 2025-10-21 22:37:43,085 INFO Завершение choise_sort. Итераций: 49995000
sorting 2025-10-21 22:37:43,085 INFO Начало gnome_sort с массивом из 10000 элементов
sorting 2025-10-21 22:38:01,594 INFO Завершение gnome_sort. Итераций: 50018763
sorting 2025-10-21 22:38:01,594 INFO Начало insert_sort с массивом из 10000 элементов
sorting 2025-10-21 22:38:05,340 INFO Завершение insert_sort. Итераций: 25014384
sorting 2025-10-21 22:38:05,340 INFO Начало heap_sort с массивом из 10000 элементов
sorting 2025-10-21 22:38:05,371 INFO Завершение heap_sort. Итераций: 129026
sorting 2025-10-21 22:38:05,371 INFO Начало merge_sort с массивом из 10000 элементов
sorting 2025-10-21 22:38:05,402 INFO Завершение merge_sort. Итераций: 130446
sorting 2025-10-21 22:38:05,402 INFO Начало quick_sort с массивом из 10000 элементов
sorting 2025-10-21 22:38:05,434 INFO Завершение quick_sort. Итераций: 174059
